ID,artist,jpg url,born-died,period,school
Medieval_0,ANDREA DI NERIO,https://www.wga.hu/art/a/andrea/nerio/virgin_c.jpg,(active 1350s-before 1387),Medieval,painter
Medieval_1,"SALIMBENI, Lorenzo",https://www.wga.hu/art/s/salimbe/various/mysticma.jpg,(1374-c. 1420),Medieval,painter
Medieval_2,BARTOLO DI FREDI,https://www.wga.hu/art/b/bartolo/stlawren.jpg,(c. 1330-c. 1410),Medieval,painter
Medieval_3,THEOPHANES the Greek,https://www.wga.hu/art/t/theophan/deesis6.jpg,(c. 1340-c. 1410,Medieval,painter
Medieval_4,"ALBEREGNO, Jacobello",https://www.wga.hu/art/a/alberegn/apocaly2.jpg,(died before1397),Medieval,painter
Medieval_5,NICCOLÒ DI PIETRO GERINI,https://www.wga.hu/art/n/niccolo/gerini/virginch.jpg,(active 1366-1415),Medieval,painter
Medieval_6,LORENZO VENEZIANO,https://www.wga.hu/art/l/lorenzo/venezian/madonna1.jpg,(active 1356-1372),Medieval,painter
Medieval_7,ANDREA DA FIRENZE,https://www.wga.hu/art/a/andrea/firenze/spanish/3west.jpg,(active 1343-1377),Medieval,painter
Medieval_8,"BASSA, Arnau",https://www.wga.hu/art/b/bassa/arnaldo/marcus.jpg,(active 2nd half 14th cent.),Medieval,painter
Medieval_9,MASTER of the Isaac Stories,https://www.wga.hu/art/m/master/isaac/isaac23.jpg,(active 1290s),Medieval,painter
Medieval_10,"LORENZETTI, Pietro",https://www.wga.hu/art/l/lorenzet/pietro/2/10madonn.jpg,(1290-1348),Medieval,painter
Medieval_11,ANTONIO DA ATRI,https://www.wga.hu/art/a/antonio/atri/atri_tri.jpg,(c. 1350-1433),Medieval,painter
Medieval_12,"SERRA, Jaume",https://www.wga.hu/art/s/serra/jaume/lastsupp.jpg,(d. after 1405),Medieval,painter
Medieval_13,"PUCCINELLI, Angelo",https://www.wga.hu/art/p/puccine/virgin1.jpg,(active 1380-1407),Medieval,painter
Medieval_14,MASTER Bertram,https://www.wga.hu/art/m/master/bertram/grabow.jpg,(c. 1345-1415),Medieval,painter
Medieval_15,CECCO DI PIETRO,https://www.wga.hu/art/c/cecco_p/xpanel4.jpg,(active 1370-1399),Medieval,painter
Medieval_16,STEFANO DI SANT'AGNESE,https://www.wga.hu/art/s/stefanos/coronati.jpg,(active 1360-80),Medieval,painter
Medieval_17,"CECCARELLI, Naddo",https://www.wga.hu/art/c/ceccarel/sorrows.jpg,(active 1340s),Medieval,painter
Medieval_18,PAOLO DA VISSO,https://www.wga.hu/art/p/paolo/visso/triptych.jpg,(active 1437-1481),Medieval,painter
Medieval_19,GIOTTO di Bondone,https://www.wga.hu/art/g/giotto/assisi/upper/legend/franc03.jpg,(1267-1337),Medieval,painter
Medieval_20,GIUSTO de' Menabuoi,https://www.wga.hu/art/g/giusto/various/viboldo2.jpg,(c. 13201391),Medieval,painter
Medieval_21,PSEUDO-JACOPINO di Francesco Bavosi,https://www.wga.hu/art/p/pseudo_j/crucifix.jpg,(active 1325-1350),Medieval,painter
Medieval_22,PIETRO DA RIMINI,https://www.wga.hu/art/p/pietro/rimini/childhoo.jpg,(active 1300-1350),Medieval,painter
Medieval_23,LUCA DI TOMMÈ,https://www.wga.hu/art/l/luca/virginch.jpg,(active 1356–1389),Medieval,painter
Medieval_24,GIOVANNI DA RIMINI,https://www.wga.hu/art/g/giovanni/rimini/life_chr.jpg,(active 1292-1336),Medieval,painter
Medieval_25,"NUZI, Allegretto",https://www.wga.hu/art/n/nuzi/virgin_c.jpg,(c. 1318-c. 1373),Medieval,painter
Medieval_26,UGOLINO-LORENZETTI,https://www.wga.hu/art/u/ugolino/lorenzet/calvary.jpg,(active 1340-60),Medieval,painter
Medieval_27,GIOVANNI da Bologna,https://www.wga.hu/art/g/giovanni/bolognax/humility.jpg,(active 1370-1390),Medieval,painter
Medieval_28,MASO DI BANCO,https://www.wga.hu/art/m/maso/various/north_up3.jpg,(active 1320-50),Medieval,painter
Medieval_29,"TRAINI, Francesco",https://www.wga.hu/art/t/traini/aquinas.jpg,(active 1321-1363),Medieval,painter
